# Ordenacio insercio. Temps en microsegons
# Talla    Pitjor   Millor   Promedi
#--------------------------------------
   10000   27283.56     25.68  12882.86
   20000   98580.50     284.82  49483.14
   30000   220350.40     68.92  110858.80
   40000   395327.30     118.64  196598.10
   50000   614993.80     121.06  302784.98
   60000   865909.74     136.90  440901.24
   70000   1189229.82     183.52  600856.00
   80000   1524791.42     184.70  755309.10
   90000   1964741.42     246.28  990141.14
  100000   2431804.70     261.90  1218966.74
