# Ordenacio insercio. Temps en microsegons
# Talla    Pitjor   Millor   Promedi
#--------------------------------------
   10000   49252.47     96.44  24262.65
   20000   158633.59     55.47  84412.99
   30000   411015.12     179.74  198615.64
   40000   702239.22     110.01  335515.34
   50000   1115797.49     303.25  558145.11
   60000   1482922.35     178.15  847105.98
   70000   2210560.93     335.96  1071987.33
   80000   2858614.64     248.89  1382184.17
   90000   3384249.64     256.56  1650241.95
  100000   3810482.92     300.30  2023103.24
